CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,cluster
17850.0,70,35,4359.58,2,5,5.0,1
13047.0,15,17,2537.9700000000003,3,5,5.0,6
12583.0,16,16,5252.69,3,5,5.0,6
14688.0,32,25,3561.06,2,5,5.0,1
17809.0,113,5,728.39,1,4,4.0,8
15311.0,3,113,17331.71,4,5,5.0,6
16098.0,41,7,1107.51,2,5,4.0,1
18074.0,0,1,185.3,5,1,2.0,9
17420.0,121,3,485.08,1,3,3.0,2
16250.0,112,2,373.54,1,2,3.0,2
12431.0,25,16,3918.55,3,5,5.0,6
17511.0,2,42,11879.42,4,5,5.0,6
13705.0,137,3,492.78000000000003,1,3,3.0,2
13408.0,7,64,9169.14,3,5,5.0,6
13767.0,23,51,7485.26,3,5,5.0,6
17924.0,10,9,643.71,3,5,4.0,6
13448.0,63,10,2958.48,2,5,5.0,1
15862.0,104,4,657.29,1,4,4.0,8
16218.0,85,6,1164.72,1,4,4.0,8
14307.0,46,6,2682.61,2,4,5.0,1
17908.0,0,1,229.45,5,1,2.0,9
17920.0,4,17,3472.12,4,5,5.0,6
12838.0,340,2,586.48,1,2,3.0,2
13255.0,6,3,189.61,4,3,2.0,7
16583.0,0,1,233.45,5,1,2.0,9
18085.0,43,2,689.95,2,2,4.0,4
13758.0,27,7,1955.39,3,5,5.0,6
15983.0,338,4,1129.81,1,4,4.0,8
14849.0,15,28,6618.49,3,5,5.0,6
17968.0,0,1,269.4,5,1,2.0,9
16210.0,8,14,1664.8,3,5,5.0,6
17897.0,195,4,379.85,1,4,3.0,8
17377.0,2,20,3527.02,4,5,5.0,6
16552.0,131,2,189.19000000000003,1,2,2.0,2
17951.0,315,4,190.68,1,4,2.0,2
14729.0,0,1,290.79,5,1,2.0,9
12748.0,1,202,20889.79,4,5,5.0,6
15012.0,320,2,361.19,1,2,3.0,2
12868.0,33,6,1534.71,2,4,5.0,1
17572.0,28,4,206.85000000000002,2,4,2.0,8
14078.0,83,6,936.7199999999999,1,4,4.0,8
14001.0,126,4,815.25,1,4,4.0,8
12662.0,23,12,3256.73,3,5,5.0,6
15525.0,15,4,630.17,3,4,3.0,5
14237.0,0,1,77.45,5,1,1.0,3
17905.0,196,3,339.84000000000003,1,3,3.0,2
15485.0,306,3,1398.96,1,3,5.0,4
12433.0,9,7,7947.37,3,5,5.0,6
16955.0,152,4,373.87,1,4,3.0,8
15350.0,0,1,115.65,5,1,1.0,3
15605.0,53,5,944.5300000000001,2,4,4.0,8
18144.0,48,11,912.1500000000001,2,5,4.0,1
15922.0,1,2,202.20000000000002,4,2,2.0,7
14594.0,366,2,273.28,1,2,2.0,2
15165.0,0,1,362.7,5,1,3.0,0
14911.0,1,232,83258.12,4,5,5.0,6
16456.0,4,5,1407.32,4,4,5.0,6
17841.0,2,163,32307.38,4,5,5.0,6
12472.0,1,13,4792.5,4,5,5.0,6
17346.0,8,16,2236.34,3,5,5.0,6
17643.0,0,1,58.8,5,1,1.0,3
17873.0,104,5,1083.46,1,4,4.0,8
13093.0,7,11,3394.12,3,5,5.0,6
12921.0,6,50,12875.02,4,5,5.0,6
13468.0,6,39,3744.52,4,5,5.0,6
17760.0,352,2,218.25,1,2,2.0,2
16928.0,6,18,1898.87,4,5,5.0,6
16048.0,0,2,256.44,5,2,2.0,9
16274.0,0,1,201.65,5,1,2.0,9
14496.0,62,2,291.92,2,2,2.0,2
14696.0,67,9,1742.76,2,5,5.0,1
16539.0,217,4,1372.91,1,4,4.0,8
17025.0,313,3,236.45,1,3,2.0,2
13777.0,1,27,3156.88,4,5,5.0,6
17690.0,5,16,3278.42,4,5,5.0,6
12947.0,40,6,1264.64,2,4,4.0,8
18229.0,7,20,3664.7,3,5,5.0,6
14142.0,0,1,280.95,5,1,2.0,9
17069.0,49,13,2368.4700000000003,2,5,5.0,1
13065.0,0,1,138.41,5,1,1.0,3
14606.0,2,125,8055.68,4,5,5.0,6
16835.0,245,2,133.15,1,2,1.0,2
15235.0,22,12,2015.51,3,5,5.0,6
13576.0,6,19,1783.6200000000001,4,5,5.0,6
18011.0,0,1,92.84,5,1,1.0,3
13090.0,11,15,3693.16,3,5,5.0,6
15694.0,17,12,2380.96,3,5,5.0,6
14741.0,43,6,1270.34,2,4,4.0,8
13715.0,56,8,992.8,2,5,4.0,1
14092.0,16,17,3861.0,3,5,5.0,6
17732.0,0,1,222.52,5,1,2.0,9
12855.0,0,1,38.1,5,1,1.0,3
15752.0,54,8,2596.8,2,5,5.0,1
17855.0,0,1,199.02,5,1,2.0,9
14047.0,191,6,561.6,1,4,3.0,8
13941.0,68,5,1389.88,2,4,5.0,1
17017.0,7,26,5124.29,3,5,5.0,6
14135.0,7,15,2849.29,3,5,5.0,6
13108.0,0,1,95.3,5,1,1.0,3
15601.0,45,17,5179.87,2,5,5.0,1
13418.0,48,23,4603.21,2,5,5.0,1
15658.0,7,5,561.15,3,4,3.0,5
14388.0,2,10,2790.61,4,5,5.0,6
14901.0,20,9,1034.01,3,5,4.0,6
18041.0,12,22,2959.84,3,5,5.0,6
15955.0,19,15,3698.01,3,5,5.0,6
16244.0,161,2,1475.05,1,2,5.0,4
15111.0,37,3,1339.68,2,3,4.0,4
14390.0,11,12,3382.02,3,5,5.0,6
